,desc,perc,selectionID,sport,temp,time,topBottom,win
0,Kontinental Hockey League: Who will WIN this matchup?,81.6,unselectable,Hockey,Hot,2014-12-09 09:00:00,Bottom,Yes
1,South African Premiership: What will be the match result?,95.8,unselectable,Soccer,Hot,2014-12-09 12:30:00,Bottom,Yes
2,UCL: Will Real Madrid (v. Ludogorets) have the LARGEST MARGIN of VICTORY in the 2:45 pm ET UCL matches? (8 Games),72.9,unselectable,Soccer,Warm,2014-12-09 14:45:00,Bottom,Yes
3,UEFA Champions League (Group B): What will be the match result?,88.7,unselectable,Soccer,Warm,2014-12-09 14:45:00,Bottom,Yes
4,UEFA Champions League: Which TEAM will WIN Group C?,98.7,unselectable,Soccer,Warm,2014-12-09 14:45:00,Top,No
5,"NCB Jimmy V Classic (New York, NY): Who will WIN this matchup?",97.4,unselectable,NCB,Hot,2014-12-09 19:02:00,Bottom,Yes
6,NCB Jimmy V Classic (Illinois v. #7 Villanova): Which side will record a HIGHER TOTAL?,58.2,unselectable,NCB,Cold,2014-12-09 19:03:00,Bottom,Yes
7,NCB: What will be the GAME RESULT?,90.7,unselectable,NCB,Cold,2014-12-09 19:04:00,Bottom,Yes
8,NCB (UMKC @ #14 Iowa State): What will be the GAME RESULT?,73.7,unselectable,NCB,None,2014-12-09 19:04:00,Top,No
9,NHL: Who will WIN this matchup?,52.4,unselectable,NHL,None,2014-12-09 19:05:00,Top,No
10,NHL: Who will WIN this matchup?,98.8,unselectable,NHL,Cold,2014-12-09 19:05:00,Top,No
11,NBA: Who will WIN this matchup?,89.4,unselectable,NBA,Cold,2014-12-09 19:05:00,Bottom,Yes
12,NHL: Who will WIN this matchup?,70.0,unselectable,NHL,Cold,2014-12-09 19:35:00,Bottom,Yes
13,NHL: Who will WIN this matchup?,74.8,unselectable,NHL,Cold,2014-12-09 19:35:00,Bottom,Yes
14,NHL: Who will WIN this matchup?,95.9,unselectable,NHL,Cold,2014-12-09 19:35:00,Bottom,Yes
15,NHL: Who will WIN this matchup?,98.4,unselectable,NHL,Warmer,2014-12-09 19:40:00,Top,No
16,NHL: Who will WIN this matchup?,55.5,unselectable,NHL,Cold,2014-12-09 20:05:00,Top,No
17,NBA: Who will WIN this matchup?,78.5,unselectable,NBA,Cold,2014-12-09 20:05:00,Bottom,Yes
18,NCB Jimmy V Classic (Illinois v. #7 Villanova): Will EITHER TEAM MAKE 5 or More 3-POINTERS in the 2nd Half? (No OT),72.5,unselectable,NCB,Warmer,2014-12-09 20:17:00,Bottom,Yes
19,NHL: Who will WIN this matchup?,63.8,unselectable,NHL,Cold,2014-12-09 20:35:00,Bottom,Yes
20,NCB: Which side will record a HIGHER TOTAL?,56.4,unselectable,NCB,Cold,2014-12-09 21:03:00,Top,No
21,NBA: Who will WIN this matchup?,87.2,unselectable,NBA,Cold,2014-12-09 21:05:00,Bottom,Yes
22,NHL: Who will WIN this matchup?,94.8,unselectable,NHL,Cold,2014-12-09 21:05:00,Top,No
23,NCB: What will be the GAME RESULT?,82.1,unselectable,NCB,Cold,2014-12-09 21:05:00,Top,No
24,NCB (Eastern Michigan @ Michigan): What will be the GAME RESULT?,94.9,unselectable,NCB,Cold,2014-12-09 21:05:00,Top,No
25,"NCB Jimmy V Classic (New York, NY): What will be the GAME RESULT?",82.3,unselectable,NCB,Hot,2014-12-09 21:40:00,Bottom,Yes
26,NBA: Who will WIN this matchup?,79.8,unselectable,NBA,Hot,2014-12-09 22:40:00,Top,No
0,Serbian SuperLiga: What will be the match result?,82.3,unselectable,Soccer,Hot,2014-12-10 07:00:00,Top,No
1,EuroLeague (Group D): Who will WIN this matchup?,90.8,unselectable,Hoops,Hot,2014-12-10 12:00:00,Top,No
2,UEFA Champions League (Group E): Which TEAM will ADVANCE to the Knockout Round?,88.2,unselectable,Soccer,Warm,2014-12-10 14:45:00,Bottom,Yes
3,UEFA Champions League: Which TEAM will WIN Group F?,92.7,unselectable,Soccer,Warm,2014-12-10 14:45:00,Bottom,Yes
4,UEFA Champions League (Group G): What will be the match result?,96.8,unselectable,Soccer,Warm,2014-12-10 14:45:00,Bottom,Yes
5,NCB: Who will WIN this matchup?,94.1,unselectable,NCB,Warmer,2014-12-10 19:02:00,Top,No
6,NCB (Columbia @ #1 Kentucky): What will be the GAME RESULT?,97.7,unselectable,NCB,Warm,2014-12-10 19:02:00,Top,No
7,NCB (High Point @ #12 Ohio State): What will be the GAME RESULT?,88.7,unselectable,NCB,Cold,2014-12-10 19:02:00,Top,No
8,NBA: Who will WIN this matchup?,61.3,unselectable,NBA,Cold,2014-12-10 19:05:00,Top,No
9,NBA: Which side will record a HIGHER TOTAL?,59.7,unselectable,NBA,Cold,2014-12-10 20:07:00,Top,No
10,NBA (Pelicans @ Mavericks): How many POINTS + REBOUNDS will Anthony Davis (NO) record in the 1st Half?,67.2,unselectable,NBA,Warm,2014-12-10 20:08:00,Top,No
11,NHL: Who will WIN this matchup?,91.1,unselectable,NHL,Warmer,2014-12-10 20:10:00,Bottom,Yes
12,NCB (#5 Wisconsin @ Milwaukee): What will be the GAME RESULT?,81.6,unselectable,NCB,Warm,2014-12-10 21:05:00,Top,No
13,NCB: Who will WIN this matchup?,52.7,unselectable,NCB,Cold,2014-12-10 21:05:00,Top,No
14,NBA (Pelicans @ Mavericks): Will EITHER TEAM SCORE 30 POINTS or MORE in the 3rd Quarter?,89.0,unselectable,NBA,Hot,2014-12-10 21:23:00,Bottom,Yes
15,NBA: Who will WIN this matchup?,65.4,unselectable,NBA,Hot,2014-12-10 22:40:00,Bottom,Yes
0,Kontinental Hockey League: Who will WIN this matchup?,92.4,unselectable,Hockey,Hot,2014-12-11 09:00:00,Top,No
1,UEFA Europa League (Group C): Who will WIN Group C?,94.1,unselectable,Soccer,Hot,2014-12-11 13:00:00,Top,No
2,UEFA Europa League (Group H): What will be the match result?,94.4,unselectable,Soccer,Hot,2014-12-11 15:05:00,Bottom,Yes
3,NHL: Who will WIN this matchup?,95.6,unselectable,NHL,Warmer,2014-12-11 19:00:00,Top,No
4,NHL: Who will WIN this matchup?,73.8,unselectable,NHL,Cold,2014-12-11 19:00:00,Bottom,Yes
5,NHL: Who will WIN this matchup?,75.6,unselectable,NHL,Cold,2014-12-11 19:00:00,Top,No
6,NHL: Who will WIN this matchup?,96.6,unselectable,NHL,Cold,2014-12-11 19:30:00,Top,No
7,NBA: Who will WIN this matchup?,52.4,unselectable,NBA,Warm,2014-12-11 20:10:00,Bottom,Yes
8,NFL: Who will WIN this matchup?,62.0,unselectable,NFL,Warmer,2014-12-11 20:25:00,Bottom,Yes
9,NFL (Cardinals @ Rams): Will the Cardinals SCORE in the 1st Quarter?,78.2,unselectable,NFL,Warmer,2014-12-11 20:26:00,Top,No
10,NHL: Who will WIN this matchup?,98.6,unselectable,NHL,Warm,2014-12-11 21:00:00,Top,No
11,NHL: Who will WIN this matchup?,63.4,unselectable,NHL,Cold,2014-12-11 21:00:00,Top,No
12,NFL (Cardinals @ Rams): How many TOUCHDOWNS will be SCORED in the 2nd Quarter?,54.0,unselectable,NFL,Warmer,2014-12-11 21:00:25,Top,No
13,NFL (Cardinals @ Rams): Which will OCCUR FIRST in the 3rd Quarter?,54.6,unselectable,NFL,Warmer,2014-12-11 22:05:00,Bottom,Yes
14,NHL: Who will WIN this matchup?,81.4,unselectable,NHL,Warm,2014-12-11 22:30:00,Bottom,Yes
15,NBA: Who will WIN this matchup?,93.7,unselectable,NBA,Hot,2014-12-11 22:45:00,Top,No
0,Kontinental Hockey League: Who will WIN this matchup?,87.8,unselectable,Hockey,Hot,2014-12-12 07:00:00,Bottom,Yes
1,Euroleague (Zalgiris Kaunas @ Unics Kazan - Group A): How many POINTS will be SCORED?,85.5,unselectable,Hoops,Hot,2014-12-12 11:00:00,Bottom,Yes
2,Spanish Primera Division (Real Madrid @ Almeria): What will be the match result?,58.4,unselectable,Soccer,Hot,2014-12-12 14:45:00,Bottom,Yes
3,"NCAA Men's Soccer Division I Semifinals (Cary, NC): Who will WIN this matchup?",94.6,unselectable,Soccer,Hot,2014-12-12 17:02:00,Bottom,Yes
4,NBA: Who will WIN this matchup?,77.9,unselectable,NBA,Warm,2014-12-12 19:05:00,Top,No
5,NBA: Who will WIN this matchup?,55.4,unselectable,NBA,Cold,2014-12-12 19:10:00,Top,No
6,NBA (Trail Blazers @ Bulls): How many POINTS will L. Aldridge (POR) AND D. Rose (CHI) COMBINE for in the 1st Half?,90.7,unselectable,NBA,Warm,2014-12-12 19:10:00,Bottom,Yes
7,NHL: Who will WIN this matchup?,79.5,unselectable,NHL,Cold,2014-12-12 19:35:00,Bottom,Yes
8,"NCAA Men's Soccer Division I Semifinals (Cary, NC): Who will WIN this matchup?",96.9,unselectable,Soccer,Warm,2014-12-12 19:35:59,Bottom,Yes
9,NCB: Who will WIN this matchup?,74.2,unselectable,NCB,Cold,2014-12-12 20:04:00,Bottom,Yes
10,NBA: Who will WIN this matchup?,92.0,unselectable,NBA,Cold,2014-12-12 20:05:00,Top,No
11,NCF FCS Playoffs - Quarterfinal: Who will WIN this matchup?,99.1,unselectable,NCF,Hot,2014-12-12 20:10:00,Bottom,Yes
12,NBA (Trail Blazers @ Bulls): How many DIFFERENT PLAYERS will SCORE in the 3rd Quarter?,93.6,unselectable,NBA,Warmer,2014-12-12 20:23:26,Top,No
13,NBA: Who will WIN this matchup?,92.6,unselectable,NBA,Warmer,2014-12-12 21:05:00,Top,No
14,NBA (Lakers @ Spurs): Will Kobe Bryant (LAL) PASS or TIE Michael Jordan on the all-time scoring list? (30 pts needed),72.0,unselectable,NBA,Hot,2014-12-12 21:39:51,Bottom,Yes
15,NCAA Women's Volleyball Division I - Qtrs (#14 Nebraska @ #3 Washington): What will be the match result?,77.6,unselectable,W Vol,Warmer,2014-12-12 21:47:00,Bottom,Yes
0,English Premier League (Hull City @ Chelsea): What will be the match result?,84.0,unselectable,Soccer,Hot,2014-12-13 10:00:00,Bottom,Yes
1,NCF Division III Playoffs - Semifinal: Who will WIN this matchup?,99.1,unselectable,NCF,Hot,2014-12-13 12:00:00,Bottom,Yes
